feature_1,feature_2,feature_3,feature_4,feature_5,target
0.4333063814,-4.10698088,1.252722195,4.842633987,7.610817092,1
-0.2167049689,3.832332477,-10.05434801,-1.106758173,1.987822708,0
8.574820705,-2.495187462,5.404009357,-6.21905782,6.954602225,1
7.67352944,-4.234502434,8.135007826,3.748393469,3.457908205,0
3.54882406,-2.58810587,-2.095069526,7.993791629,-3.523852277,1
-8.06860665,-5.967561393,-0.2713483084,-9.61358297,-1.670685585,1
9.56402721,-4.526793455,5.299929716,-7.30991696,1.585365439,1
3.193706312,-7.17593516,10.06601049,2.445732872,-0.004250393428,0
0.4522034915,0.2820559737,10.97153144,0.5747703402,-0.105325449,0
4.665541538,-1.096674521,-2.588868559,-4.028808784,7.355031374,1
6.585227079,2.522516045,-4.701366303,-3.900278206,-3.599539126,1
-3.395801724,-3.845678264,1.973631099,-9.495809395,0.7833731985,0
2.552598294,0.3815448816,-5.453088641,7.440060636,-2.871930963,1
2.523902322,6.898982064,2.013321808,10.31468078,-5.620307751,1
6.298216654,-1.801273661,2.926988623,5.868293284,-3.752832491,1
-4.063441979,9.056047395,6.863451072,-6.746704963,-2.202602186,1
5.198740536,8.511404564,-1.265993787,3.459721684,2.820757838,0
-0.01071793463,-5.150107622,5.868434947,-0.4978246207,-7.7323941,0
6.820442532,10.84238696,5.622350675,-0.5213263375,0.2039617462,1
-7.827739685,-1.891136068,-7.626791325,-2.612812822,-8.133594472,1
5.046912666,-1.317301945,8.593847043,-4.220934055,-5.012274617,1
-4.864972909,-7.08769382,-7.342822233,-1.297820519,3.807263907,1
-1.269296186,-10.3478556,-1.449647092,1.38831288,-2.877825967,0
8.985986491,-5.447201802,-6.777666282,5.631237668,2.816459019,1
-4.842255417,10.3276155,5.602898201,-2.831958873,-5.145916951,1
-0.7248448247,4.668652956,0.9206330184,-12.63070446,-3.646370697,1
4.745792078,-7.705775873,3.311263186,-0.1587724224,2.666233896,1
-5.705742133,5.516654938,-8.641907192,-0.8426669734,-7.59067701,1
-1.838967402,-3.459003007,10.9596276,-6.368064407,-4.470773488,1
6.440581171,2.090442031,1.314310507,-6.068141396,-7.720052732,1
0.4666251667,3.176855104,-3.526106334,7.330651393,-10.93242777,1
4.82339879,6.425347043,4.591657605,0.9941018538,10.45840243,1
2.515569301,-6.294613806,6.470995215,5.194502359,2.488596851,0
-9.074860542,-4.104072489,-3.272945388,1.522749433,-2.961850401,0
2.984011079,-9.175099726,4.304440073,-0.984285287,-5.605015703,1
5.042150539,5.626675449,2.06940288,5.945339066,-6.876609371,1
-5.841913151,-4.655557004,2.686870025,8.362513458,-3.323693405,1
-0.7632044533,-3.018666359,-10.16451106,2.737371575,-0.7033378032,0
-0.5118624272,8.815788743,1.047938314,-6.453074257,-0.5286999259,0
1.515234831,-0.373209661,8.237333105,-1.153554012,11.15259765,1
-4.532920979,2.333916047,-3.773605288,5.067581261,5.838234885,1
-8.175851622,-3.881521507,8.141724998,-4.431376414,-1.079100631,0
6.366682928,-3.723022092,-6.734874623,5.110216965,8.374461259,1
7.657650578,-0.8560037279,-4.292196799,0.3133644541,10.8676812,1
5.416790303,0.6694949064,11.02359092,-3.780386893,-1.843712954,0
5.211190194,-3.307943892,2.566028571,9.310670695,-6.134159481,0
8.198619675,-2.815737017,-6.160981329,-1.959743413,2.013945206,0
-6.178397843,3.355867336,-8.917831872,4.033706071,-4.875145593,0
1.206220612,3.987206273,5.440088344,-4.810603276,5.469072399,1
7.860022477,5.400016551,-1.602461658,2.441541311,-0.7286017906,1
8.272450887,2.44979669,-2.199569117,-1.223935083,7.951662161,1
1.735681362,-1.852009521,-7.494860699,8.240200962,-3.672005196,1
